district,org_id,transport_per_pupil_fy23,transport_per_pupil_fy24,transport_per_pupil_fy25,resident_pupils_fy23,resident_pupils_fy24,resident_pupils_fy25
State Total,1,988.84,1015.32,1092.53,166797,170519,168611
South Portland,444,709.49,940.16,1065.44,3074,2937,2810
Sanford,416,688.32,747.24,816.16,3117,3170,3149
Biddeford,65,736.57,801.78,898.66,2288,2372,2412
Portland,364,651.23,775.22,625.67,6424,6611,6511
Scarborough,427,601.42,630.24,690.60,2888,2853,2860
Cape Elizabeth,113,696.47,674.41,844.17,1509,1525,1497
Gorham,194,829.68,887.99,946.28,2723,2838,2815
Westbrook,495,756.63,797.55,986.46,2319,2288,2288
Yarmouth,537,741.73,682.53,825.43,1656,1634,1634
